app_id,app_name,vendor,category,sourcing,business_unit,region,business_owner,application_manager,business_criticality,data_classification,lifecycle_status,compliance_status,hosting,go_live_date,end_of_life_date,last_reviewed_date,number_of_users,annual_cost_chf,integration_count,type,user_population_band,description
APP-0012,Confluence (Group),Atlassian,Collaboration,COTS / SaaS,Trading & Sales,Austria,Camille Kowalski,Simon Sutter,,Internal,Production,Compliant,On-Premise,2010-05-11,2030-12-30,2025-12-16,89,30841,1,COTS,11-100,"Atlassian Collaboration solution used by Trading & Sales to support team communication, documents and collaboration."
APP-0013,Energy Optimizer,In-house,Asset Management,In-house,Customer Service,Austria,Vera Schneider,David Bauer,Low,Confidential,Production,Compliant,Private Cloud,2024-08-04,2028-02-01,2026-05-13,31,14499,20,Self-developed,11-100,"In-house Asset Management application developed for Customer Service to maintain technical assets, maintenance plans and lifecycle records."
APP-0014,Invoice Service,In-house,Risk,In-house,IT,Spain,Marco Conti,,Critical,Confidential,Retired,Compliant,SaaS,2018-06-16,2032-03-09,2025-10-15,1903,265963,17,Self-developed,1000+,"In-house Risk application developed for IT to manage exposure, limits and risk reporting."
APP-0015,Grid Optimizer,In-house,Risk,In-house,Customer Service,France,Tobias Suter,Olivier Marti,Critical,Internal,Production,Compliant,Public Cloud (AWS),2022-05-11,2027-09-08,2022-06-11,1495,1310599,10,Self-developed,1000+,"In-house Risk application developed for Customer Service to manage exposure, limits and risk reporting."
APP-0016,Workday Financials,Workday,ERP / Finance,COTS / SaaS,Trading & Sales,Austria,Tobias Suter,Felix Brunner,Critical,Internal,Production,Compliant,On-Premise,2009-06-24,2029-01-18,2025-06-13,1244,286702,10,COTS,1000+,"Workday ERP / Finance solution used by Trading & Sales to run finance, controlling and core ERP processes."
APP-0017,Grid Platform,In-house,Finance,In-house,Procurement,Switzerland,Piotr Fischer,Pascal Arnold,High,Internal,Production,Compliant,Public Cloud (Azure),2009-07-28,2029-11-20,2025-08-23,1648,515050,1,Self-developed,1000+,"In-house Finance application developed for Procurement to manage invoicing, settlement and financial bookkeeping."
APP-0018,Hedging Workbench,In-house,Compliance,In-house,Energy Management,Austria,Olivier Marti,Lukas Martin,Medium,Restricted,Retired,Compliant,On-Premise,2006-06-30,2030-08-28,2025-11-12,841,23894,10,Self-developed,101-1000,"In-house Compliance application developed for Energy Management to track controls, obligations and audit evidence."
APP-0019,Customer Monitor,In-house,Asset Management,In-house,Generation,France,Stefan Maurer,,High,Confidential,Production,Compliant,Private Cloud,2012-01-04,2028-10-19,2025-07-24,1308,304327,13,Self-developed,1000+,"In-house Asset Management application developed for Generation to maintain technical assets, maintenance plans and lifecycle records."
APP-0020,Workday HCM,Workday,HR,COTS / SaaS,Corporate Strategy,Germany,David Bauer,Camille Kowalski,,Confidential,Retired,Compliant,Public Cloud (AWS),2008-04-04,2032-03-08,2025-06-28,15,23502,13,SaaS,11-100,"Workday HR solution used by Corporate Strategy to manage people data, talent and workforce processes."
APP-0021,Snowflake,Snowflake,Data Platform,COTS / SaaS,Legal,Nordics,Pascal Lehmann,Matteo Martin,Critical,Public,Production,Compliant,On-Premise,2008-01-04,2031-09-12,2025-09-14,1039,1161102,8,COTS,1000+,"Snowflake Data Platform solution used by Legal to store, process and serve datasets for analytics and reporting."
APP-0022,Forecast Engine,In-house,Customer,In-house,Customer Service,Nordics,Martina Egger,Tobias Suter,Low,Restricted,Production,Compliant,On-Premise,2020-01-22,2031-03-15,2026-02-15,92,16169,19,Self-developed,11-100,"In-house Customer application developed for Customer Service to manage customer contracts, requests and service interactions."
APP-0023,Grafana,Grafana Labs,Observability,COTS / SaaS,Corporate Strategy,Switzerland,Olivier Marti,Francesca Berger,Medium,Confidential,Production,Compliant,Private Cloud,2012-01-08,2030-05-20,2025-11-09,277,216970,16,COTS,101-1000,"Grafana Labs Observability solution used by Corporate Strategy to monitor systems through metrics, logs and traces."
APP-0024,Tariff Manager,In-house,Customer,In-house,IT,Germany,,Olivier Marti,Medium,,Production,Compliant,SaaS,2006-02-05,2027-10-14,2026-02-24,306,50075,18,Self-developed,101-1000,"In-house Customer application developed for IT to manage customer contracts, requests and service interactions."
APP-0025,Outage Engine,In-house,Customer,In-house,Procurement,Germany,Magda Meier,Nadia Lang,Low,Confidential,Production,Compliant,SaaS,2015-03-20,2028-12-21,2025-08-06,34,16749,13,Self-developed,11-100,"In-house Customer application developed for Procurement to manage customer contracts, requests and service interactions."
APP-0026,TIBCO (Group),TIBCO,Integration,COTS / SaaS,Human Resources,Austria,Lea Graf,Tobias Suter,Medium,Public,Production,Compliant,Public Cloud (Azure),2006-01-08,2028-11-30,2025-12-10,85,103831,12,SaaS,11-100,TIBCO Integration solution used by Human Resources to exchange data and route messages between systems.
APP-0027,Tariff Optimizer,In-house,Customer,In-house,IT,Germany,Marc Weber,Pascal Lehmann,Critical,Internal,Production,Compliant,SaaS,2017-09-03,2030-10-03,2025-05-23,962,604410,5,Self-developed,101-1000,"In-house Customer application developed for IT to manage customer contracts, requests and service interactions."
APP-0028,AutoCAD (Legacy),Autodesk,Engineering / CAD,COTS / SaaS,Asset Management,Italy,Daniel Kowalski,Camille Kowalski,Medium,Confidential,Production,Compliant,Public Cloud (Azure),2013-05-24,2031-04-25,2026-05-10,257,67911,4,SaaS,101-1000,Autodesk Engineering / CAD solution used by Asset Management to support Asset Management operational processes.
APP-0029,Risk Optimizer,In-house,Grid Operations,In-house,Grid Operations,Austria,Olivier Marti,,Medium,Public,Production,Compliant,SaaS,2009-09-16,2028-01-29,2023-12-26,179,62503,3,Self-developed,101-1000,"In-house Grid Operations application developed for Grid Operations to monitor and control grid assets, outages and dispatch."
APP-0030,Asset Workbench,In-house,Asset Management,In-house,Energy Management,Nordics,David Bauer,Nadia Lang,Critical,Internal,Retired,Compliant,Public Cloud (AWS),2012-02-23,2024-10-31,2026-01-11,940,345502,5,Self-developed,101-1000,"In-house Asset Management application developed for Energy Management to maintain technical assets, maintenance plans and lifecycle records."
APP-0031,Terraform,HashiCorp,Infrastructure as Code,COTS / SaaS,Generation,Germany,Olivier Wagner,Stefan Bianchi,Medium,Confidential,Sunset,Compliant,Public Cloud (AWS),2019-02-13,2030-11-16,2025-06-10,201,83739,3,SaaS,101-1000,HashiCorp Infrastructure as Code solution used by Generation to support Generation operational processes.
APP-0032,Capacity Register,In-house,Integration,In-house,Trading & Sales,Germany,Petra Egger,Daniel Weber,Medium,Internal,Build,Compliant,On-Premise,2007-07-14,2029-08-21,2025-12-01,502,86462,25,Self-developed,101-1000,In-house Integration application developed for Trading & Sales to exchange data and route messages between systems.
APP-0033,SAP SuccessFactors (Legacy),SAP,HR,COTS / SaaS,IT,France,Claudia Koch,Vera Schneider,High,Confidential,Sunset,Compliant,Public Cloud (Azure),2018-03-31,2028-04-16,2025-10-30,1986,402494,17,SaaS,1000+,"SAP HR solution used by IT to manage people data, talent and workforce processes."
APP-0034,Market Service,In-house,Reporting,In-house,Legal,Poland,,Olivier Marti,Medium,Internal,Production,Non-compliant,On-Premise,2020-01-08,2031-02-06,2026-04-20,241,214379,19,Self-developed,101-1000,In-house Reporting application developed for Legal to produce operational and regulatory reports.
APP-0035,Market Portal,In-house,Data Platform,In-house,Asset Management,Austria,Matteo Meier,David Bauer,Critical,Internal,Production,Compliant,Public Cloud (Azure),2022-04-20,2028-10-15,2025-11-16,1630,837848,9,Self-developed,1000+,"In-house Data Platform application developed for Asset Management to store, process and serve datasets for analytics and reporting."
APP-0036,Grid Console,In-house,Data Platform,In-house,Procurement,Spain,Olivier Marti,David Berger,Critical,Internal,Production,Compliant,Public Cloud (AWS),2005-09-13,2029-05-17,2026-01-29,1845,1131838,11,Self-developed,1000+,"In-house Data Platform application developed for Procurement to store, process and serve datasets for analytics and reporting."
APP-0037,Meter Manager,In-house,Energy Trading,In-house,Asset Management,Poland,Camille Kowalski,Fabian Marti,High,Confidential,Production,Compliant,Public Cloud (AWS),2005-03-02,2029-09-30,2025-08-07,0,472515,22,Self-developed,1-10,"In-house Energy Trading application developed for Asset Management to support deal capture, position keeping and market operations."
APP-0038,Asset Service,In-house,Finance,In-house,Customer Service,Austria,Stefan Maurer,,Medium,Public,Production,Compliant,Private Cloud,2016-07-01,2024-09-09,2025-10-01,199,127256,18,Self-developed,101-1000,"In-house Finance application developed for Customer Service to manage invoicing, settlement and financial bookkeeping."
APP-0039,Energy Workbench,In-house,Compliance,In-house,Energy Management,Poland,Olivier Marti,Michael Marti,High,Internal,Production,Compliant,Public Cloud (AWS),2023-02-13,2028-06-02,2026-03-01,449,439485,24,Self-developed,101-1000,"In-house Compliance application developed for Energy Management to track controls, obligations and audit evidence."
APP-0040,Supply Register,In-house,Grid Operations,In-house,Generation,France,Chiara Conti,Carmen Brunner,Low,Internal,Sunset,Non-compliant,Private Cloud,2012-07-07,2028-06-13,2023-09-02,46,31164,10,Self-developed,11-100,"In-house Grid Operations application developed for Generation to monitor and control grid assets, outages and dispatch."
APP-0041,Field Optimizer,In-house,Asset Management,In-house,Generation,Italy,Nadia Lang,Camille Kowalski,Low,Internal,Production,Compliant,On-Premise,2018-06-12,2027-08-21,2022-07-15,60,26946,20,Self-developed,11-100,"In-house Asset Management application developed for Generation to maintain technical assets, maintenance plans and lifecycle records."
APP-0042,Asset Repository,In-house,Energy Trading,In-house,Energy Management,Austria,Lea Baumann,Andreas Bauer,Medium,Public,Retired,Unknown,Private Cloud,2022-04-04,2030-11-01,2025-10-23,208,75117,19,Self-developed,101-1000,"In-house Energy Trading application developed for Energy Management to support deal capture, position keeping and market operations."
APP-0043,Qlik Sense,Qlik,Analytics / BI,COTS / SaaS,Corporate Strategy,Austria,Camille Kowalski,Petra Egger,High,Confidential,Production,Compliant,Public Cloud (AWS),2007-06-08,2029-12-26,2026-03-17,4869,429751,0,SaaS,1000+,Qlik Analytics / BI solution used by Corporate Strategy to build dashboards and KPIs for decision-making.
APP-0044,DocuSign,DocuSign,Content / e-Signature,COTS / SaaS,Procurement,Switzerland,,David Bauer,High,Internal,Production,Unknown,On-Premise,2020-06-17,2027-08-20,2025-09-25,570,777646,14,COTS,101-1000,DocuSign Content / e-Signature solution used by Procurement to support Procurement operational processes.
APP-0045,Market Manager,In-house,Asset Management,In-house,Grid Operations,Poland,Pascal Arnold,Giulia Meier,Medium,Internal,Production,Compliant,On-Premise,2009-07-22,2030-01-23,2026-02-28,87,47378,6,Self-developed,11-100,"In-house Asset Management application developed for Grid Operations to maintain technical assets, maintenance plans and lifecycle records."
APP-0046,Market Cockpit,In-house,Reporting,In-house,IT,France,Olivier Marti,Camille Kowalski,Low,Internal,Production,Compliant,Private Cloud,2023-03-15,2024-07-07,2025-05-17,60,19994,24,Self-developed,11-100,In-house Reporting application developed for IT to produce operational and regulatory reports.
APP-0047,Cisco Webex,Cisco,Collaboration,COTS / SaaS,Finance,Italy,Magda Baumann,Thomas Egger,Medium,Internal,Production,Compliant,On-Premise,2022-04-30,2030-11-01,2025-09-28,162,61950,20,COTS,101-1000,"Cisco Collaboration solution used by Finance to support team communication, documents and collaboration."
APP-0048,Outage Repository,In-house,Data Platform,In-house,Customer Service,Nordics,,Thomas Egger,High,Restricted,Sunset,Non-compliant,On-Premise,2015-08-23,2027-12-11,2025-09-17,603,175328,15,Self-developed,101-1000,"In-house Data Platform application developed for Customer Service to store, process and serve datasets for analytics and reporting."
APP-0049,Network Register,In-house,Data Platform,In-house,Corporate Strategy,Germany,Camille Bianchi,Chiara Schneider,High,Confidential,Sunset,Compliant,Public Cloud (AWS),2008-05-05,2031-12-28,2020-06-26,957,12374789,6,Self-developed,101-1000,"In-house Data Platform application developed for Corporate Strategy to store, process and serve datasets for analytics and reporting."
APP-0050,Compliance Scheduler,In-house,Customer,In-house,Corporate Strategy,Switzerland,Chiara Conti,,High,,Production,Compliant,Public Cloud (Azure),2019-07-12,2027-01-16,2026-04-13,0,312116,20,Self-developed,1-10,"In-house Customer application developed for Corporate Strategy to manage customer contracts, requests and service interactions."
APP-0051,Market Register,In-house,Data Platform,In-house,Human Resources,Italy,Olivier Marti,Chiara Schneider,High,,Production,Compliant,Public Cloud (AWS),2008-08-24,2028-08-23,2025-08-29,1116,346774,1,Self-developed,1000+,"In-house Data Platform application developed for Human Resources to store, process and serve datasets for analytics and reporting."
APP-0052,Outage Register,In-house,Finance,In-house,Corporate Strategy,Spain,Martina Dubois,Luca Bianchi,High,Confidential,Production,Compliant,Private Cloud,2014-12-30,2027-06-12,2025-08-15,838,456155,9,Self-developed,101-1000,"In-house Finance application developed for Corporate Strategy to manage invoicing, settlement and financial bookkeeping."
APP-0053,Schneider EcoStruxure (Group),Schneider Electric,Industrial / SCADA,COTS / SaaS,Trading & Sales,Austria,Lea Baumann,Daniel Kowalski,Medium,Internal,Production,Compliant,Public Cloud (Azure),2011-10-10,2028-08-28,2025-08-03,64,88266,13,SaaS,11-100,Schneider Electric Industrial / SCADA solution used by Trading & Sales to support Trading & Sales operational processes.
APP-0054,Invoice Cockpit,In-house,Grid Operations,In-house,IT,Italy,Sophie Bauer,Anna Conti,Medium,Confidential,Production,Non-compliant,On-Premise,2023-12-17,2027-11-13,2026-01-17,0,97693,9,Self-developed,1-10,"In-house Grid Operations application developed for IT to monitor and control grid assets, outages and dispatch."
APP-0055,Microsoft 365 (CH),Microsoft,Collaboration,COTS / SaaS,Finance,France,Martina Meier,Andreas Keller,Critical,Confidential,Production,Compliant,SaaS,2013-05-14,2029-04-06,2025-09-23,1540,183069,22,SaaS,1000+,"Microsoft Collaboration solution used by Finance to support team communication, documents and collaboration."
APP-0056,Settlement Workbench,In-house,Reporting,In-house,Energy Management,Nordics,Piotr Kaufmann,,High,Internal,Production,Not assessed,SaaS,2007-10-24,2027-09-07,2026-02-11,1220,655749,18,Self-developed,1000+,In-house Reporting application developed for Energy Management to produce operational and regulatory reports.
APP-0057,Datadog (Group),Datadog,Observability,COTS / SaaS,Energy Management,Germany,,Isabelle Frei,Critical,Restricted,Production,Compliant,Private Cloud,2010-09-04,2027-04-29,2026-05-07,979,1050433,16,COTS,101-1000,"Datadog Observability solution used by Energy Management to monitor systems through metrics, logs and traces."
APP-0058,Forecast Optimizer,In-house,Energy Trading,In-house,IT,Germany,Lukas Widmer,Thomas Egger,Medium,,Production,Compliant,Public Cloud (Azure),2020-02-09,2027-12-20,2026-04-05,167,78709,17,Self-developed,101-1000,"In-house Energy Trading application developed for IT to support deal capture, position keeping and market operations."
APP-0059,Compliance Gateway,In-house,Finance,In-house,Grid Operations,Italy,Julia Conti,Luca Bianchi,Critical,Internal,Production,Not assessed,Public Cloud (AWS),2020-01-28,2029-03-05,2026-04-06,1947,727513,3,Self-developed,1000+,"In-house Finance application developed for Grid Operations to manage invoicing, settlement and financial bookkeeping."
APP-0060,Contract Tracker,In-house,Compliance,In-house,Generation,Spain,Olivier Zimmermann,Tobias Suter,High,Restricted,Production,Unknown,SaaS,2016-03-12,2031-03-30,2026-01-07,296,495882,8,Self-developed,101-1000,"In-house Compliance application developed for Generation to track controls, obligations and audit evidence."
APP-0061,Market Scheduler,In-house,Energy Trading,In-house,Trading & Sales,Austria,Olivier Marti,Camille Kowalski,High,,Production,Compliant,Public Cloud (AWS),2007-09-28,2029-09-12,2026-01-21,617,317992,25,Self-developed,101-1000,"In-house Energy Trading application developed for Trading & Sales to support deal capture, position keeping and market operations."
APP-0062,Outage Dashboard,In-house,Asset Management,In-house,Energy Management,Spain,Tobias Suter,Nadia Lang,Medium,Internal,Production,Compliant,Public Cloud (AWS),2016-03-02,2029-10-13,2025-09-20,565,65914,1,Self-developed,101-1000,"In-house Asset Management application developed for Energy Management to maintain technical assets, maintenance plans and lifecycle records."
APP-0063,Field Console,In-house,Grid Operations,In-house,Legal,Germany,Claudia Koch,David Bauer,Critical,Confidential,Production,Compliant,Public Cloud (AWS),2024-04-19,2031-11-30,2025-12-25,665,1203288,15,Self-developed,101-1000,"In-house Grid Operations application developed for Legal to monitor and control grid assets, outages and dispatch."
APP-0064,Tariff Register,In-house,Energy Trading,In-house,Human Resources,Poland,Martina Egger,Pierre Bauer,Medium,Internal,Production,Compliant,SaaS,2006-04-02,2028-06-06,2025-11-10,301,76974,0,Self-developed,101-1000,"In-house Energy Trading application developed for Human Resources to support deal capture, position keeping and market operations."
APP-0065,Compliance Register,In-house,Reporting,In-house,Finance,France,Marc Kaufmann,Olivier Marti,Medium,Restricted,Production,Compliant,Public Cloud (Azure),2013-07-15,2029-05-09,2026-04-10,159,73193,3,Self-developed,101-1000,In-house Reporting application developed for Finance to produce operational and regulatory reports.
APP-0066,Dispatch Dashboard,In-house,Compliance,In-house,IT,Spain,Pascal Arnold,Martina Egger,Medium,Restricted,Production,Compliant,SaaS,2009-08-14,2029-09-27,2025-12-08,162,90913,6,Self-developed,101-1000,"In-house Compliance application developed for IT to track controls, obligations and audit evidence."
APP-0067,Balancing Monitor,In-house,Grid Operations,In-house,Trading & Sales,France,Matteo Frei,Julia Conti,Low,Internal,Production,Compliant,Public Cloud (Azure),2018-10-13,2032-03-12,2025-10-19,41,25610,2,Self-developed,11-100,"In-house Grid Operations application developed for Trading & Sales to monitor and control grid assets, outages and dispatch."
APP-0068,Network Optimizer,In-house,Grid Operations,In-house,Procurement,France,Tobias Hofer,Pascal Arnold,,Restricted,Production,Compliant,Public Cloud (Azure),2007-09-29,2028-10-19,2025-12-20,136,65099,18,Self-developed,101-1000,"In-house Grid Operations application developed for Procurement to monitor and control grid assets, outages and dispatch."
APP-0069,Trading Dashboard,In-house,Data Platform,In-house,Trading & Sales,Poland,Lukas Widmer,Piotr Fischer,Critical,Internal,Production,Compliant,SaaS,2020-09-10,2028-09-23,2026-04-02,1741,915944,1,Self-developed,1000+,"In-house Data Platform application developed for Trading & Sales to store, process and serve datasets for analytics and reporting."
APP-0070,Nutanix,Nutanix,Infrastructure,COTS / SaaS,Generation,Italy,Olivier Vogel,Petra Egger,Medium,Confidential,Plan,Compliant,Public Cloud (AWS),2009-06-28,2028-08-31,2022-05-29,120,75619,23,SaaS,101-1000,"Nutanix Infrastructure solution used by Generation to provide platform, hosting and infrastructure services."
APP-0071,Forecast Cockpit,In-house,Data Platform,In-house,Procurement,France,David Bauer,Thomas Egger,High,Confidential,Production,Compliant,On-Premise,2018-04-21,2031-06-09,2025-12-13,718,260838,14,Self-developed,101-1000,"In-house Data Platform application developed for Procurement to store, process and serve datasets for analytics and reporting."
APP-0072,Emissions Dashboard,In-house,Compliance,In-house,Human Resources,Germany,Daniel Schneider,David Bauer,High,Restricted,Production,Not assessed,Public Cloud (Azure),2016-01-21,2031-11-16,2025-12-07,1318,310520,13,Self-developed,1000+,"In-house Compliance application developed for Human Resources to track controls, obligations and audit evidence."
APP-0073,Meter Platform,In-house,Integration,In-house,Corporate Strategy,Italy,David Keller,Martina Egger,Medium,Restricted,Production,Compliant,Private Cloud,2016-02-07,2029-06-06,2026-05-09,242,58958,23,Self-developed,101-1000,In-house Integration application developed for Corporate Strategy to exchange data and route messages between systems.
APP-0074,Dynatrace (Legacy),Dynatrace,Observability,COTS / SaaS,Customer Service,Nordics,Petra Martin,David Keller,Low,Confidential,Production,Compliant,On-Premise,2015-03-09,2032-04-23,2025-07-12,33,12335,25,COTS,11-100,"Dynatrace Observability solution used by Customer Service to monitor systems through metrics, logs and traces."
APP-0075,Field Register,In-house,Finance,In-house,Energy Management,Germany,,Piotr Moser,High,Internal,Production,Compliant,Public Cloud (AWS),2022-12-24,2028-08-21,2025-09-27,930,226500,21,Self-developed,101-1000,"In-house Finance application developed for Energy Management to manage invoicing, settlement and financial bookkeeping."
APP-0076,Dynatrace (DACH),Dynatrace,Observability,COTS / SaaS,Trading & Sales,Italy,Carmen Brunner,,Medium,Internal,Production,Compliant,Public Cloud (Azure),2012-12-21,2030-03-28,2026-01-19,77,43699,18,SaaS,11-100,"Dynatrace Observability solution used by Trading & Sales to monitor systems through metrics, logs and traces."
APP-0077,Invoice Tracker,In-house,Compliance,In-house,Customer Service,Poland,Magda Baumann,Petra Hofer,High,Internal,Production,Compliant,Private Cloud,2020-07-08,2024-07-14,2025-11-03,1256,543094,4,Self-developed,1000+,"In-house Compliance application developed for Customer Service to track controls, obligations and audit evidence."
APP-0078,Salesforce Service Cloud,Salesforce,CRM,COTS / SaaS,Procurement,Poland,Luca Schneider,Julia Conti,Low,Internal,Production,Compliant,On-Premise,2018-07-04,2030-08-21,2025-05-28,58,447,21,COTS,11-100,Salesforce CRM solution used by Procurement to support Procurement operational processes.
APP-0079,Balancing Gateway,In-house,Energy Trading,In-house,Finance,Poland,,Marc Schneider,Low,Internal,Production,Compliant,On-Premise,2024-04-02,2031-07-28,2026-04-07,27,24527,4,Self-developed,11-100,"In-house Energy Trading application developed for Finance to support deal capture, position keeping and market operations."
APP-0080,Invoice Analyzer,In-house,Data Platform,In-house,Human Resources,Spain,Olivier Vogel,Martina Dubois,Critical,Restricted,Production,Compliant,Public Cloud (Azure),2019-10-23,2027-10-20,2025-07-05,3525,1260271,11,Self-developed,1000+,"In-house Data Platform application developed for Human Resources to store, process and serve datasets for analytics and reporting."
APP-0081,Portfolio Monitor,In-house,Reporting,In-house,Customer Service,Nordics,Petra Egger,Marco Conti,Critical,Confidential,Production,Compliant,Private Cloud,2016-11-02,2032-02-12,2025-07-21,9333,511348,9,Self-developed,1000+,In-house Reporting application developed for Customer Service to produce operational and regulatory reports.
APP-0082,Dispatch Hub,In-house,Risk,In-house,Asset Management,Poland,Olivier Marti,Stefan Koch,Critical,Public,Production,Not assessed,SaaS,2013-09-30,2030-12-26,2025-05-23,981,1075811,8,Self-developed,101-1000,"In-house Risk application developed for Asset Management to manage exposure, limits and risk reporting."
APP-0083,Oracle E-Business Suite (Group),Oracle,ERP / Finance,COTS / SaaS,Generation,Germany,,Olivier Zimmermann,High,Public,Production,Compliant,Private Cloud,2021-04-18,2029-10-14,2025-10-25,769,238943,25,COTS,101-1000,"Oracle ERP / Finance solution used by Generation to run finance, controlling and core ERP processes."
APP-0084,Field Dashboard,In-house,Energy Trading,In-house,Trading & Sales,Nordics,Carmen Kaufmann,Fabian Marti,Low,Confidential,Production,Compliant,SaaS,2007-03-14,2030-12-11,2026-03-15,19,19739,16,Self-developed,11-100,"In-house Energy Trading application developed for Trading & Sales to support deal capture, position keeping and market operations."
APP-0085,Invoice Hub,In-house,Compliance,In-house,Generation,Italy,Carmen Kaufmann,Marc Schneider,Medium,Internal,Production,Compliant,SaaS,2018-11-17,2030-03-10,2025-08-25,250,96990,14,Self-developed,101-1000,"In-house Compliance application developed for Generation to track controls, obligations and audit evidence."
APP-0086,Risk Workbench,In-house,Data Platform,In-house,Legal,Switzerland,Marc Kaufmann,David Berger,High,Internal,Production,Unknown,On-Premise,2010-04-22,2029-10-21,2025-09-19,846,455031,7,Self-developed,101-1000,"In-house Data Platform application developed for Legal to store, process and serve datasets for analytics and reporting."
APP-0087,Microsoft Defender,Microsoft,Security / EDR,COTS / SaaS,Generation,Spain,Tobias Suter,Nadia Meier,Critical,Confidential,Production,Compliant,On-Premise,2023-08-09,2028-07-29,2025-07-16,1830,995174,5,COTS,1000+,Microsoft Security / EDR solution used by Generation to protect endpoints against malware and intrusions.
APP-0088,Salesforce Sales Cloud (Group),Salesforce,CRM,COTS / SaaS,Generation,Switzerland,Thomas Egger,Andreas Keller,High,,Production,Compliant,Public Cloud (AWS),2010-10-28,2024-06-09,2025-08-11,1289,196184,0,SaaS,1000+,Salesforce CRM solution used by Generation to support Generation operational processes.
APP-0089,Billing Scheduler,In-house,Grid Operations,In-house,IT,France,Martina Egger,Felix Ferrari,Low,Internal,Sunset,Compliant,Public Cloud (AWS),2023-11-08,2028-05-04,2026-01-21,33,14145,18,Self-developed,11-100,"In-house Grid Operations application developed for IT to monitor and control grid assets, outages and dispatch."
APP-0090,Balancing Repository,In-house,Customer,In-house,Procurement,France,Nadia Lang,Vera Arnold,High,Confidential,Retired,Compliant,Public Cloud (AWS),2005-10-01,2028-09-16,2025-11-17,690,378231,25,Self-developed,101-1000,"In-house Customer application developed for Procurement to manage customer contracts, requests and service interactions."
